"count_0","count_1","count_2","count_3","count_4","count_5"
0,1,5,21,85,341
0,2,10,29,117,0
0,3,11,42,170,0
0,4,12,43,171,0
0,6,13,46,174,0
0,7,14,47,175,0
0,8,15,53,213,0
0,9,17,61,234,0
0,16,19,69,235,0
0,18,20,81,238,0
0,24,22,83,239,0
0,27,23,84,245,0
0,32,25,86,277,0
0,36,26,87,285,0
0,48,28,92,325,0
0,54,30,93,337,0
0,56,31,94,339,0
0,63,33,95,340,0
0,64,34,97,342,0
0,72,35,98,343,0
0,73,37,99,348,0
0,128,38,101,349,0
0,144,39,102,350,0
0,146,40,103,351,0
0,192,41,106,369,0
0,216,44,107,371,0
0,219,45,110,373,0
0,256,49,111,375,0
0,288,50,113,405,0
0,292,51,114,413,0
0,384,52,115,426,0
0,432,55,116,427,0
0,438,57,119,430,0
0,448,58,122,431,0
0,504,59,123,469,0
0,511,60,124,477,0
0,0,62,125,490,0
0,0,65,133,491,0
0,0,66,138,494,0
0,0,67,139,495,0
0,0,68,140,501,0
0,0,70,141,0,0
0,0,71,142,0,0
0,0,74,143,0,0
0,0,75,149,0,0
0,0,76,156,0,0
0,0,77,157,0,0
0,0,78,158,0,0
0,0,79,159,0,0
0,0,80,161,0,0
0,0,82,162,0,0
0,0,88,163,0,0
0,0,89,165,0,0
0,0,90,166,0,0
0,0,91,167,0,0
0,0,96,168,0,0
0,0,100,169,0,0
0,0,104,172,0,0
0,0,105,173,0,0
0,0,108,177,0,0
0,0,109,179,0,0
0,0,112,181,0,0
0,0,118,183,0,0
0,0,120,185,0,0
0,0,121,187,0,0
0,0,126,188,0,0
0,0,127,189,0,0
0,0,129,190,0,0
0,0,130,197,0,0
0,0,131,202,0,0
0,0,132,203,0,0
0,0,134,204,0,0
0,0,135,205,0,0
0,0,136,206,0,0
0,0,137,207,0,0
0,0,145,209,0,0
0,0,147,211,0,0
0,0,148,212,0,0
0,0,150,214,0,0
0,0,151,215,0,0
0,0,152,221,0,0
0,0,153,225,0,0
0,0,154,226,0,0
0,0,155,227,0,0
0,0,160,229,0,0
0,0,164,230,0,0
0,0,176,231,0,0
0,0,178,232,0,0
0,0,180,233,0,0
0,0,182,236,0,0
0,0,184,237,0,0
0,0,186,241,0,0
0,0,191,242,0,0
0,0,193,243,0,0
0,0,194,244,0,0
0,0,195,247,0,0
0,0,196,249,0,0
0,0,198,250,0,0
0,0,199,253,0,0
0,0,200,261,0,0
0,0,201,266,0,0
0,0,208,267,0,0
0,0,210,268,0,0
0,0,217,269,0,0
0,0,218,270,0,0
0,0,220,271,0,0
0,0,222,273,0,0
0,0,223,275,0,0
0,0,224,276,0,0
0,0,228,278,0,0
0,0,240,279,0,0
0,0,246,281,0,0
0,0,248,282,0,0
0,0,251,284,0,0
0,0,252,286,0,0
0,0,254,287,0,0
0,0,255,298,0,0
0,0,257,299,0,0
0,0,258,302,0,0
0,0,259,303,0,0
0,0,260,305,0,0
0,0,262,307,0,0
0,0,263,309,0,0
0,0,264,311,0,0
0,0,265,313,0,0
0,0,272,314,0,0
0,0,274,317,0,0
0,0,280,318,0,0
0,0,283,321,0,0
0,0,289,322,0,0
0,0,290,323,0,0
0,0,291,324,0,0
0,0,293,326,0,0
0,0,294,327,0,0
0,0,295,330,0,0
0,0,296,331,0,0
0,0,297,332,0,0
0,0,300,333,0,0
0,0,301,334,0,0
0,0,304,335,0,0
0,0,306,336,0,0
0,0,308,338,0,0
0,0,310,344,0,0
0,0,312,345,0,0
0,0,315,346,0,0
0,0,316,347,0,0
0,0,319,353,0,0
0,0,320,354,0,0
0,0,328,355,0,0
0,0,329,357,0,0
0,0,352,358,0,0
0,0,356,359,0,0
0,0,360,362,0,0
0,0,361,363,0,0
0,0,364,366,0,0
0,0,365,367,0,0
0,0,385,368,0,0
0,0,386,370,0,0
0,0,387,372,0,0
0,0,388,374,0,0
0,0,390,376,0,0
0,0,391,377,0,0
0,0,392,378,0,0
0,0,393,379,0,0
0,0,400,380,0,0
0,0,402,381,0,0
0,0,408,382,0,0
0,0,411,383,0,0
0,0,416,389,0,0
0,0,420,394,0,0
0,0,433,395,0,0
0,0,434,396,0,0
0,0,435,397,0,0
0,0,436,398,0,0
0,0,439,399,0,0
0,0,440,401,0,0
0,0,441,403,0,0
0,0,443,404,0,0
0,0,446,406,0,0
0,0,447,407,0,0
0,0,449,409,0,0
0,0,450,410,0,0
0,0,451,412,0,0
0,0,452,414,0,0
0,0,454,415,0,0
0,0,455,417,0,0
0,0,456,418,0,0
0,0,457,419,0,0
0,0,464,421,0,0
0,0,466,422,0,0
0,0,472,423,0,0
0,0,475,424,0,0
0,0,480,425,0,0
0,0,484,428,0,0
0,0,496,429,0,0
0,0,502,437,0,0
0,0,505,442,0,0
0,0,506,444,0,0
0,0,507,445,0,0
0,0,508,453,0,0
0,0,510,458,0,0
0,0,0,459,0,0
0,0,0,460,0,0
0,0,0,461,0,0
0,0,0,462,0,0
0,0,0,463,0,0
0,0,0,465,0,0
0,0,0,467,0,0
0,0,0,468,0,0
0,0,0,470,0,0
0,0,0,471,0,0
0,0,0,473,0,0
0,0,0,474,0,0
0,0,0,476,0,0
0,0,0,478,0,0
0,0,0,479,0,0
0,0,0,481,0,0
0,0,0,482,0,0
0,0,0,483,0,0
0,0,0,485,0,0
0,0,0,486,0,0
0,0,0,487,0,0
0,0,0,488,0,0
0,0,0,489,0,0
0,0,0,492,0,0
0,0,0,493,0,0
0,0,0,497,0,0
0,0,0,498,0,0
0,0,0,499,0,0
0,0,0,500,0,0
0,0,0,503,0,0
0,0,0,509,0,0
