one_dot,line,line_dot,two_dots,three_dots,two_c_line,hole,solid_tri,nothing
,325,341,,,117,,235,
,,,,,171,,239,
,,,,,174,,349,
,,,,,175,,351,
,,,,,213,,373,
,,,,,234,,375,
,,,,,285,,430,
,,,,,339,,431,
,,,,,342,,477,
,,,,,343,,491,
,,,,,348,,494,
,,,,,369,,495,
,,,,,405,,501,
,,,,,426,,,
,,,,,469,,,
,,,,,490,,,
