one_dot,line,line_dot,two_dots,three_dots,two_c_line,hole,solid_tri,nothing
,29,85,,,83,238,93,
,43,170,,,87,245,95,
,46,277,,,94,350,107,
,47,337,,,101,371,111,
,53,340,,,103,413,123,
,61,,,,110,427,125,
,69,,,,115,,158,
,197,,,,119,,159,
,232,,,,122,,179,
,261,,,,124,,183,
,321,,,,143,,187,
,323,,,,157,,190,
,324,,,,166,,203,
,326,,,,167,,205,
,327,,,,181,,207,
,344,,,,185,,211,
,368,,,,188,,214,
,376,,,,189,,215,
,389,,,,202,,221,
,424,,,,206,,233,
,453,,,,209,,237,
,488,,,,229,,242,
,,,,,230,,243,
,,,,,231,,247,
,,,,,236,,249,
,,,,,241,,250,
,,,,,244,,253,
,,,,,269,,302,
,,,,,271,,303,
,,,,,278,,309,
,,,,,279,,311,
,,,,,286,,317,
,,,,,287,,318,
,,,,,299,,331,
,,,,,307,,333,
,,,,,313,,335,
,,,,,314,,345,
,,,,,332,,347,
,,,,,334,,357,
,,,,,346,,358,
,,,,,353,,359,
,,,,,355,,363,
,,,,,370,,366,
,,,,,378,,367,
,,,,,395,,372,
,,,,,397,,374,
,,,,,399,,377,
,,,,,404,,379,
,,,,,409,,380,
,,,,,412,,381,
,,,,,418,,382,
,,,,,419,,383,
,,,,,425,,403,
,,,,,458,,406,
,,,,,460,,407,
,,,,,462,,410,
,,,,,465,,414,
,,,,,468,,415,
,,,,,476,,421,
,,,,,481,,422,
,,,,,482,,423,
,,,,,483,,428,
,,,,,497,,429,
,,,,,,,437,
,,,,,,,442,
,,,,,,,444,
,,,,,,,445,
,,,,,,,459,
,,,,,,,461,
,,,,,,,463,
,,,,,,,467,
,,,,,,,470,
,,,,,,,471,
,,,,,,,473,
,,,,,,,474,
,,,,,,,478,
,,,,,,,479,
,,,,,,,485,
,,,,,,,486,
,,,,,,,487,
,,,,,,,489,
,,,,,,,492,
,,,,,,,493,
,,,,,,,498,
,,,,,,,499,
,,,,,,,500,
,,,,,,,503,
,,,,,,,509,
